"GRID_G0","woodland","maskWdl","cropland","maskCrp","one","maskOne"
"280732",0.980732792717211,1,0.00273865412371384,0,0.0039394364826676,0
"280733",0.932373950201011,1,0.00117555463155815,0,0.0600110315081888,0
"280734",0.96097697219858,1,0.00411809127298472,0,0.0349049365284357,0
"280735",0.948253239879519,1,0.0012521076905644,0,0.0342034254867061,0
"280736",0.960948655501661,1,0.0024400384730185,0,0.0347570703210582,0
"280737",0.943296206662347,1,0.00376673636873115,0,0.0474033395088942,0
"280738",0.935049044082393,1,0.00520603124209393,0,0.056897886179143,0
"280739",0.917042151039681,1,0.00691446609141444,0,0.0755331931241569,0
"280740",0.905339871604592,1,0.00069745456980205,0,0.0930340628840982,0
"280741",0.968899293561298,1,0.0028197081316369,0,0.0256386811925213,0
"280742",0.784140975834672,1,0.00757231227630923,0,0.201945863341602,0
"280743",0.908227773404744,1,0.005180865009071,0,0.0848516014314337,0
"280744",0.955419013543389,1,0.00402423067186407,0,0.0401821269860906,0
"280745",0.933576364116256,1,0.00569094754067316,0,0.0595450553081604,0
"280746",0.804176899118268,1,0.0193815878848698,0,0.173225283650106,0
"280747",0.842388490116025,1,0.0102157132098657,0,0.139048917941171,0
"280748",0.893678438320932,1,0.00205050848065308,0,0.103083387692943,0
"88300",0.941734233993765,1,0.0190919395418415,0,0.0372048145988294,0
"250941",0,0,3.23939096694719e-05,0,0.0699675897030615,0
"279545",0.000110091043222323,0,0.0392005974244985,0,0.960681340707205,1
"279546",0.0163257559785741,0,0.0475850046218806,0,0.936049385294266,1
"279547",0,0,0.240899650216914,0,0.758952887936836,1
"279548",3.58724876553802e-05,0,0.352685145382224,0,0.64727898213012,1
"279549",5.18103699013315e-05,0,0.197103784380863,0,0.802844405249235,1
"279550",0.000207245089038668,0,0.108653817603996,0,0.890947634147853,1
"279551",0.00017536014450186,0,0.182369369186756,0,0.817323750560365,1
"279552",2.39151347528162e-05,0,0.122008640139601,0,0.87782395391713,1
"279553",0.00240890570550205,0,0.342532346479888,0,0.654440997931494,1
"279554",0.00332375622946185,0,0.359712609550218,0,0.630139550462338,1
"279555",3.98585139142903e-06,0,0.657533946489873,1,0.342462067658735,0
"279556",3.98547851049915e-06,0,0.644204775480061,1,0.355791239041429,1
"279557",0.000351717752702785,0,0.376488764024457,0,0.62315951822284,1
"279558",0.00139489534144093,0,0.0893219239184067,0,0.908083570746513,1
"279559",0.000610457075455467,0,0.0291439574425121,0,0.970245585482032,1
"279560",0.00239861281289104,0,0.211771458915932,0,0.785829928271177,1
"279561",2.78979826570198e-05,0,0.267385026435331,0,0.732531279616698,1
"279562",0.000573905474579973,0,0.27468271795256,0,0.723651361989284,1
"279563",0.000669617314103572,0,0.467596161928931,0,0.521351166571014,1
"279564",3.18833408961946e-05,0,0.488974872236877,0,0.510578760990576,1
"279565",9.56500154456841e-05,0,0.538780595336297,0,0.460584300517395,1
"279566",0.000267054131653263,0,0.619581528965817,1,0.376457205282897,1
"279567",0.00767501327681726,0,0.313837564387527,0,0.677119943934653,1
"279568",0.0401741755081643,0,0.442616573439586,0,0.510176000447646,1
"279569",0.0071561624003448,0,0.275902191445805,0,0.713125918953763,1
"279570",0.0109528740986069,0,0.511462028311908,0,0.472633937571651,1
"279571",0.0200759420042849,0,0.755873783306269,1,0.223007117216962,0
"279572",0.0491737822556131,0,0.466350246332025,0,0.482427397271106,1
"279573",0.000748992565682955,0,0.721784080499844,1,0.276964763592877,0
"279574",0.000482284587031187,0,0.706802012674822,1,0.292440680948848,0
"279575",0.000195285241175619,0,0.632130354859308,1,0.367123061692851,1
"279576",0.000434430634024975,0,0.731785498108893,1,0.265948276020113,0
"279577",0.00408107161958272,0,0.674377158028526,1,0.319099033774809,0
"279578",0.0192594758403792,0,0.70452135163864,1,0.275503710097078,0
"279579",0.00100832017585104,0,0.503028218637212,0,0.495481783052023,1
"279580",8.36939440350983e-05,0,0.112959723551219,0,0.886633715978299,1
"279581",0.000296279055357132,0,0.159209541177174,0,0.839207744832471,1
"279582",0.0532336245507136,0,0.254914728456883,0,0.691291037769442,1
"279583",0.00292706912427382,0,0.228745638237513,0,0.765824430712248,1
"279584",0.00162602992732488,0,0.329289871586591,0,0.662305493166394,1
"279585",0.0309179433303901,0,0.274368098664467,0,0.692234671291331,1
"279586",0.00104633687279869,0,0.17174085933751,0,0.826128549027194,1
"279587",0.000173671932458192,0,0.190034194657017,0,0.806907182223063,1
"279588",3.98547739861673e-06,0,0.228608179227875,0,0.770299799964904,1
"279589",0.000271036439438299,0,0.31187684786566,0,0.684652590314782,1
"279590",2.78979411849466e-05,0,0.119112651141231,0,0.878764024598922,1
"279591",0.000350720020629989,0,0.142149215634203,0,0.853986909869426,1
"279592",0.000374667293450505,0,0.0696263363365973,0,0.925648232212092,1
"279593",0,0,0.123825328077577,0,0.869772337806858,1
"279594",3.98542407664111e-06,0,0.723597580779036,1,0.271853535888367,0
"279595",4.38400388686103e-05,0,0.785195023427206,1,0.213449920825946,0
"279596",0.000147475354656107,0,0.532103037060421,0,0.466852677995798,1
"279597",0.00196879407978997,0,0.388562634336071,0,0.598616052541805,1
"279598",0.000267026879284362,0,0.879861538193592,1,0.111164724617371,0
"279599",3.58690687881797e-05,0,0.829141423203386,1,0.16021845594033,0
"279600",3.98585690422958e-06,0,0.925699322579704,1,0.0669720816233343,0
"279601",0,0,0.53544034990924,0,0.463452860277648,1
"279602",3.18836336645419e-05,0,0.63750129875989,1,0.354244825575202,1
"279603",0.000133910910219239,0,0.714255288269379,1,0.272328113868656,0
"279604",0.00187488406881411,0,0.761398621647878,1,0.212643937173001,0
"279605",0.0235452032167852,0,0.715008995451878,1,0.215772874534799,0
"279606",0.0223110031470448,0,0.782321454505108,1,0.183548747789887,0
"279607",0.0456997855391204,0,0.610172809887123,1,0.231883603934448,0
"279608",0.0191570417325302,0,0.818452857902114,1,0.110149096173374,0
